horizon,variable,cond_mean,cond_inf,cond_sup,uncond_mean
1,x,0,0,0,0
2,x,-0.00647258887549,-0.012873528481,5.91177033514e-05,-6.06227936697e-05
3,x,-0.00650947937072,-0.0129458341391,-8.34181412532e-05,8.66116106444e-05
4,x,-0.00419741635521,-0.00985582893657,0.00133143310196,1.62720540982e-05
5,x,-0.00269649982912,-0.00835322151307,0.00281052287757,0.000225842099659
6,x,-0.00184871817332,-0.00767310582169,0.00389897445931,-5.07523177602e-05
7,x,-0.00130964917585,-0.00700590433644,0.00450972416618,-0.000118607046367
8,x,-0.000855056850866,-0.00656742216932,0.00483014001512,-2.50775922614e-05
9,x,-0.000390482321671,-0.00599953367258,0.00540576429509,0.00012194868754
1,pi,0,0,0,0
2,pi,-0.00188402273739,-0.0054174038823,0.00167664579334,4.25727788064e-05
3,pi,-0.00190538401561,-0.00565353066174,0.00179293824965,-1.14655793537e-05
4,pi,-0.00122408786579,-0.00423364938163,0.0018102479766,2.07441832603e-05
5,pi,-0.000783587599628,-0.00396636969012,0.0023508036798,-7.81226412353e-05
6,pi,-0.000475478310485,-0.00362060613807,0.00257917206166,1.90807758366e-05
7,pi,-0.000300922114935,-0.00349361308637,0.00282041939532,-4.08191000933e-05
8,pi,-0.00025711363784,-0.00338143606214,0.00289743917523,4.2307561208e-05
9,pi,-0.000147908147842,-0.00329747884299,0.00276385050483,4.54008507645e-05
1,i,0,0,0,0
2,i,0.000988,0.000988,0.000988,2.91239699058e-06
3,i,0.000988,0.000988,0.000988,4.25215233454e-06
4,i,0.000643392874647,0.000282516794324,0.000998173849664,6.90061569699e-06
5,i,0.000421760216946,2.57138937571e-06,0.000855635582131,4.87772122823e-06
6,i,0.000278205952964,-0.000184033336264,0.000717593441491,5.08449607721e-06
7,i,0.000182008384202,-0.000283554391033,0.000653622852145,-3.8667896972e-06
8,i,0.000112183187609,-0.000366691842479,0.000587351883931,4.41158642922e-07
9,i,7.48636951469e-05,-0.000371996147566,0.000525362366417,9.66682124731e-06
