phi_pi,n_stable_roots,n_unstable_roots,determinate,dominant_stable_modulus
0.5,2,1,False,0.9772247096473915
0.55,2,1,False,0.9796769477297412
0.6,2,1,False,0.9821291132601822
0.65,2,1,False,0.9845818708046997
0.7,2,1,False,0.9870358799148394
0.75,2,1,False,0.9894917969520792
0.8,2,1,False,0.9919502768753741
0.85,2,1,False,0.9944119750058021
0.9,2,1,False,0.9968775487816995
0.95,2,1,False,0.9993476595174239
1.0,1,2,True,0.6686990696644377
1.05,1,2,True,0.6677984050708247
1.1,1,2,True,0.6669070996330272
1.15,1,2,True,0.6660249199971517
1.2,1,2,True,0.6651516421242302
1.25,1,2,True,0.6642870507814137
1.3,1,2,True,0.6634309390683115
1.35,1,2,True,0.6625831079754164
1.4,1,2,True,0.6617433659721486
1.45,1,2,True,0.6609115286220023
1.5,1,2,True,0.6600874182227553
1.55,1,2,True,0.6592708634696849
1.6,1,2,True,0.6584616991401251
1.65,1,2,True,0.6576597657976155
1.7,1,2,True,0.6568649095142952
1.75,1,2,True,0.6560769816100898
1.8,1,2,True,0.6552958384075429
1.85,1,2,True,0.6545213410011186
1.9,1,2,True,0.6537533550399672
1.95,1,2,True,0.6529917505231737
2.0,1,2,True,0.6522364016066912
2.05,1,2,True,0.6514871864210784
2.1,1,2,True,0.650743986899377
2.15,1,2,True,0.6500066886143999
2.2,1,2,True,0.649275180624845
2.25,1,2,True,0.6485493553296474
2.3,1,2,True,0.6478291083300268
2.35,1,2,True,0.647114338298739
2.4,1,2,True,0.6464049468561153
2.45,1,2,True,0.645700838452418
2.5,1,2,True,0.6450019202561378
2.55,1,2,True,0.6443081020478866
2.6,1,2,True,0.6436192961195327
2.65,1,2,True,0.6429354171782768
2.7,1,2,True,0.6422563822553583
2.75,1,2,True,0.6415821106191401
2.8,1,2,True,0.6409125236923093
2.85,1,2,True,0.6402475449729752
2.9,1,2,True,0.6395870999594013
2.95,1,2,True,0.6389311160782246
3.0,1,2,True,0.638279522615932
