scenario,variable,shock,impact,peak_abs,cumulative_abs_20q,response_h4
baseline,x,e_x,0.39972783885799995,0.39972783885799995,0.5909461108575336,-0.0185780265281
baseline,x,e_pi,-0.14402053367,0.14402053367,0.41866662952712846,-0.0266835506948
baseline,x,e_i,-0.30654796198199996,0.30654796198199996,0.8911326653307351,-0.056795985096899995
baseline,pi,e_x,0.0849936118476,0.0849936118476,0.3043099461219722,-0.02130792540684
baseline,pi,e_pi,0.942816750648,0.942816750648,1.2578199892832376,-0.0306044943436
baseline,pi,e_i,-0.35159283994240004,0.35159283994240004,1.0220777934495162,-0.06514172062479999
baseline,i,e_x,0.06249057327679999,0.06249057327679999,0.1816596357780272,0.0115780044518
baseline,i,e_pi,0.0897549789508,0.0897549789508,0.2609170620544469,0.01662944491264
baseline,i,e_i,0.1910436322804,0.1910436322804,0.5553624304910431,0.035395803063520005
hybrid_nkpc,x,e_x,0.400044193522,0.400044193522,0.5910521528419348,-0.0168216869778
hybrid_nkpc,x,e_pi,-0.147579103139,0.222900035909,0.8877336725992689,-0.0876898069639
hybrid_nkpc,x,e_i,-0.34107125856799997,0.34107125856799997,0.7786713597730908,-0.0269634773202
hybrid_nkpc,pi,e_x,0.0864192173536,0.0864192173536,0.32123792341926044,-0.0400356845604
hybrid_nkpc,pi,e_pi,1.35208630086,1.35208630086,2.317525648358518,-0.1257882116532
hybrid_nkpc,pi,e_i,-0.2980600020424,0.32451457268080003,1.2613449882944545,-0.10432292565279999
hybrid_nkpc,i,e_x,0.0626966918032,0.0626966918032,0.1685303086235264,0.00859364872524
hybrid_nkpc,i,e_pi,0.1364883774368,0.1486025202184,0.5775982341163642,0.0477718135752
hybrid_nkpc,i,e_i,0.19266725469,0.19266725469,0.4202714195484805,0.012334662034880001
open_economy,x,e_x,0.398057119362,0.398057119362,0.5766273579720447,-0.0167455381232
open_economy,x,e_pi,-0.146420181894,0.146420181894,0.402899954238375,-0.0240515543859
open_economy,x,e_i,-0.311655617494,0.311655617494,0.8575732689464962,-0.051193776273700003
open_economy,x,e_q,0.040775050412,0.12077805563099998,0.3730936580241104,-0.0311633895779
open_economy,x,e_copper,1.16011010614,1.16011010614,8.55346341683,0.552418062936
open_economy,pi,e_x,0.0756085965508,0.07919101684079999,0.2935012287387909,-0.02043302068408
open_economy,pi,e_pi,0.929337087936,0.929337087936,1.2422954685380356,-0.02934787193068
open_economy,pi,e_i,-0.3802843259912,0.3802843259912,1.0464167955388,-0.062466997584400004
open_economy,pi,e_q,0.413881154824,0.413881154824,0.8193786033419568,-0.0380257821006
open_economy,pi,e_copper,0.3168804391192,0.3168804391192,3.4870852105468004,-0.1880629720252
open_economy,i,e_x,0.060638054591999994,0.060638054591999994,0.16685588765345274,0.009960645103799999
open_economy,i,e_pi,0.0870942132252,0.0870942132252,0.23965449345209747,0.014306437671320001
open_economy,i,e_i,0.1853801877024,0.1853801877024,0.5101050154149497,0.030451278020080002
open_economy,i,e_q,0.1128472136636,0.1128472136636,0.3105182402651405,0.01853672671092
open_economy,i,e_copper,0.16415176237520002,0.3416955923792,5.114749426808799,0.3416955923792
