driver,variable,coefficient_unit_shock,coefficient_calibrated_shock
constant,x,0.0,0.0
constant,pi,0.0,0.0
constant,i,0.007417071777732875,0.007417071777732875
i(-1),x,-4.210955564787705,-4.210955564787705
i(-1),pi,-1.2074308179406412,-1.2074308179406412
i(-1),i,0.6560769816100881,0.6560769816100881
e_x,x,0.7994556777166117,0.003997278388583059
e_x,pi,0.04249680592386146,0.00021248402961930729
e_x,i,0.031245286638250075,0.00015622643319125037
e_pi,x,-0.5199297244384138,-0.001440205336694406
e_pi,pi,0.850917644987789,0.0023570418766161753
e_pi,i,0.08100629869175945,0.00022438744737617367
e_i,x,-4.508058264466836,-0.0030654796198374486
e_i,pi,-1.292620735090487,-0.0008789820998615312
e_i,i,0.7023662951482422,0.00047760908070080475
