scenario,status,n_forward,n_unstable,n_eigenvalues,source,dominant_stable_modulus,convergence_half_life_quarters,smallest_unstable_modulus,scenario_type,phi_pi
baseline,determinate_bk_count,2,2,3,dynare_check,0.65607698161,1.6445664626073067,1.0400709991,baseline,1.75
rstar_2,determinate_bk_count,2,2,3,dynare_check,0.655649331912,1.6420261860684926,1.0394842836,rstar,1.75
rstar_3,determinate_bk_count,2,2,3,dynare_check,0.65607698161,1.6445664626073067,1.0400709991,rstar,1.75
rstar_4,determinate_bk_count,2,2,3,dynare_check,0.656498276888,1.647075064520335,1.04064897939,rstar,1.75
kappa_0p07,determinate_bk_count,2,2,3,dynare_check,0.686861012035,1.8453252130444395,1.03710682367,kappa,1.75
kappa_0p10,determinate_bk_count,2,2,3,dynare_check,0.65607698161,1.6445664626073067,1.0400709991,kappa,1.75
kappa_0p13,determinate_bk_count,2,2,3,dynare_check,0.630072502944,1.5005771715214251,1.04189469275,kappa,1.75
phi_pi_1p3,determinate_bk_count,2,2,3,dynare_check,0.663430939068,1.6892411185643288,1.01682267298,phi_pi,1.3
phi_pi_1p4,determinate_bk_count,2,2,3,dynare_check,0.661743365972,1.6788205771491016,1.02189621677,phi_pi,1.4
phi_pi_1p5,determinate_bk_count,2,2,3,dynare_check,0.660087418222,1.668694142730013,1.02701691044,phi_pi,1.5
phi_pi_1p6,determinate_bk_count,2,2,3,dynare_check,0.65846169914,1.6588463962225948,1.03219156544,phi_pi,1.6
phi_pi_1p7,determinate_bk_count,2,2,3,dynare_check,0.656864909514,1.649263098946999,1.03742753945,phi_pi,1.7
phi_pi_1p8,determinate_bk_count,2,2,3,dynare_check,0.655295838407,1.639931074620916,1.04273285773,phi_pi,1.8
phi_pi_1p9,determinate_bk_count,2,2,3,dynare_check,0.65375335504,1.6308381057650774,1.04811635974,phi_pi,1.9
phi_pi_2p0,determinate_bk_count,2,2,3,dynare_check,0.652236401606,1.6219728424890951,1.05358787934,phi_pi,2.0
phi_pi_2p1,determinate_bk_count,2,2,3,dynare_check,0.650743986899,1.613324721980261,1.05915846958,phi_pi,2.1
phi_pi_2p2,determinate_bk_count,2,2,3,dynare_check,0.649275180624,1.604883897076544,1.0648406879,phi_pi,2.2
rho_calibrated_0p80,determinate_bk_count,2,2,3,dynare_check,0.534559498404,1.106711856676002,1.08842868214,rho_i,1.75
fevd_didactic_benchmark,determinate_bk_count,2,2,3,dynare_check,0.65607698161,1.6445664626073067,1.0400709991,fevd,1.75
